store,key_len,value_len,num_keys,num_gets,trial,insert_mops,get_mops
KVStore,16,64,1000000,10000000,4,4.60,8.72
KVStore,16,64,1000000,10000000,5,4.78,8.96
std::unordered_map,16,64,1000000,10000000,1,6.27,12.67
std::unordered_map,16,64,1000000,10000000,2,6.82,13.14
std::unordered_map,16,64,1000000,10000000,3,7.32,13.11
std::unordered_map,16,64,1000000,10000000,4,6.78,12.43
std::unordered_map,16,64,1000000,10000000,5,7.53,13.83
KVStoreOpen,16,64,1000000,10000000,1,7.41,10.68
KVStoreOpen,16,64,1000000,10000000,2,9.30,10.76
KVStoreOpen,16,64,1000000,10000000,3,9.39,10.92
KVStoreOpen,16,64,1000000,10000000,4,9.49,10.89
KVStoreOpen,16,64,1000000,10000000,5,9.25,10.79
KVStoreArena,16,64,1000000,10000000,1,8.00,9.57
KVStoreArena,16,64,1000000,10000000,2,8.52,9.47
KVStoreArena,16,64,1000000,10000000,3,8.76,9.62
KVStoreArena,16,64,1000000,10000000,4,8.76,9.38
KVStoreArena,16,64,1000000,10000000,5,8.81,9.61
KVStore,64,64,1000000,10000000,1,2.32,5.18
KVStore,64,64,1000000,10000000,2,2.92,5.34
KVStore,64,64,1000000,10000000,3,3.02,4.81
KVStore,64,64,1000000,10000000,4,2.20,5.09
KVStore,64,64,1000000,10000000,5,2.98,5.20
std::unordered_map,64,64,1000000,10000000,1,5.72,5.93
std::unordered_map,64,64,1000000,10000000,2,6.30,5.98
std::unordered_map,64,64,1000000,10000000,3,6.79,6.03
std::unordered_map,64,64,1000000,10000000,4,6.61,5.86
std::unordered_map,64,64,1000000,10000000,5,6.28,5.64
KVStoreOpen,64,64,1000000,10000000,1,2.77,5.43
KVStoreOpen,64,64,1000000,10000000,2,4.33,5.57
KVStoreOpen,64,64,1000000,10000000,3,4.39,5.69
KVStoreOpen,64,64,1000000,10000000,4,4.42,5.65
KVStoreOpen,64,64,1000000,10000000,5,4.39,5.67
KVStoreArena,64,64,1000000,10000000,1,6.71,6.02
KVStoreArena,64,64,1000000,10000000,2,7.11,5.96
KVStoreArena,64,64,1000000,10000000,3,7.05,5.92
KVStoreArena,64,64,1000000,10000000,4,7.08,5.91
KVStoreArena,64,64,1000000,10000000,5,7.06,5.99
KVStore,512,512,1000000,10000000,1,0.51,0.85
KVStore,512,512,1000000,10000000,2,0.66,1.43
KVStore,512,512,1000000,10000000,3,1.07,1.51
KVStore,512,512,1000000,10000000,4,1.11,1.36
KVStore,512,512,1000000,10000000,5,0.74,1.44
std::unordered_map,512,512,1000000,10000000,1,1.04,2.04
std::unordered_map,512,512,1000000,10000000,2,2.03,2.22
std::unordered_map,512,512,1000000,10000000,3,4.15,1.99
std::unordered_map,512,512,1000000,10000000,4,1.89,2.06
std::unordered_map,512,512,1000000,10000000,5,1.53,1.97
KVStoreOpen,512,512,1000000,10000000,1,0.79,1.64
KVStoreOpen,512,512,1000000,10000000,2,1.19,1.37
KVStoreOpen,512,512,1000000,10000000,3,0.91,1.59
KVStoreOpen,512,512,1000000,10000000,4,1.14,1.72
KVStoreOpen,512,512,1000000,10000000,5,1.65,1.73
KVStoreArena,512,512,1000000,10000000,1,1.05,1.76
KVStoreArena,512,512,1000000,10000000,2,2.29,1.68
KVStoreArena,512,512,1000000,10000000,3,2.04,1.75
KVStoreArena,512,512,1000000,10000000,4,2.44,1.76
KVStoreArena,512,512,1000000,10000000,5,1.91,1.76
KVStore,64,64,1000000,10000000,1,1.91,3.45
KVStore,64,64,1000000,10000000,2,2.02,4.86
KVStore,64,64,1000000,10000000,3,1.92,4.71
