store,key_len,value_len,num_keys,num_gets,slots,trial,insert_mops,get_mops
std::unordered_map,16,16,256000,10000000,512000,4,7.38,9.03
std::unordered_map,16,16,256000,10000000,512000,5,14.10,10.30
KVStoreOpen,16,16,256000,10000000,512000,1,9.65,13.15
KVStoreOpen,16,16,256000,10000000,512000,2,15.88,14.96
KVStoreOpen,16,16,256000,10000000,512000,3,19.01,14.63
KVStoreOpen,16,16,256000,10000000,512000,4,15.01,12.33
KVStoreOpen,16,16,256000,10000000,512000,5,14.44,15.00
KVStoreArena,16,16,256000,10000000,512000,1,8.78,7.90
KVStoreArena,16,16,256000,10000000,512000,2,10.64,8.48
KVStoreArena,16,16,256000,10000000,512000,3,10.20,8.75
KVStoreArena,16,16,256000,10000000,512000,4,10.49,8.09
KVStoreArena,16,16,256000,10000000,512000,5,13.14,8.58
KVStore,16,16,1000000,10000000,2000000,1,4.82,8.94
KVStore,16,16,1000000,10000000,2000000,2,4.92,8.55
KVStore,16,16,1000000,10000000,2000000,3,4.49,8.70
KVStore,16,16,1000000,10000000,2000000,4,4.45,8.83
KVStore,16,16,1000000,10000000,2000000,5,5.12,9.26
std::unordered_map,16,16,1000000,10000000,2000000,1,6.34,8.41
std::unordered_map,16,16,1000000,10000000,2000000,2,6.78,8.41
std::unordered_map,16,16,1000000,10000000,2000000,3,6.88,8.38
std::unordered_map,16,16,1000000,10000000,2000000,4,9.86,8.37
std::unordered_map,16,16,1000000,10000000,2000000,5,6.55,8.44
KVStoreOpen,16,16,1000000,10000000,2000000,1,9.99,8.65
KVStoreOpen,16,16,1000000,10000000,2000000,2,11.40,8.50
KVStoreOpen,16,16,1000000,10000000,2000000,3,15.91,8.15
KVStoreOpen,16,16,1000000,10000000,2000000,4,10.48,8.38
KVStoreOpen,16,16,1000000,10000000,2000000,5,10.95,8.04
KVStoreArena,16,16,1000000,10000000,2000000,1,6.46,6.38
KVStoreArena,16,16,1000000,10000000,2000000,2,8.85,6.24
KVStoreArena,16,16,1000000,10000000,2000000,3,7.29,6.47
KVStoreArena,16,16,1000000,10000000,2000000,4,7.13,6.46
KVStoreArena,16,16,1000000,10000000,2000000,5,7.22,6.19
KVStore,16,16,4000000,10000000,8000000,1,3.13,9.21
KVStore,16,16,4000000,10000000,8000000,2,5.00,8.20
KVStore,16,16,4000000,10000000,8000000,3,4.87,8.84
KVStore,16,16,4000000,10000000,8000000,4,4.32,8.68
KVStore,16,16,4000000,10000000,8000000,5,4.77,8.49
std::unordered_map,16,16,4000000,10000000,8000000,1,4.64,7.55
std::unordered_map,16,16,4000000,10000000,8000000,2,5.86,7.57
std::unordered_map,16,16,4000000,10000000,8000000,3,5.06,7.62
std::unordered_map,16,16,4000000,10000000,8000000,4,4.82,7.55
